epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.458,0.69205,1.55755,0.91173,0.92576,0.90432,0.95406,0.76667,0.67245,0.86373,0.88599,0.000553082,0.000553082,0.000553082
2,214.089,0.70451,0.88128,0.92378,0.94037,0.91214,0.97276,0.77425,0.68404,0.79947,0.92344,0.00108131,0.00108131,0.00108131
3,313.061,0.69753,0.65888,0.9252,0.95656,0.92988,0.97819,0.79925,0.65386,0.51604,0.93642,0.00158203,0.00158203,0.00158203
4,413.777,0.67816,0.5805,0.92191,0.97469,0.96332,0.9861,0.83319,0.57943,0.46643,0.89255,0.00154323,0.00154323,0.00154323
5,513.489,0.66104,0.51901,0.91166,0.97439,0.96111,0.9875,0.82412,0.61728,0.42705,0.90597,0.00150197,0.00150197,0.00150197
6,612.507,0.64656,0.49948,0.91247,0.96208,0.95691,0.97969,0.80581,0.62741,0.47121,0.90335,0.00146071,0.00146071,0.00146071
7,711.728,0.62319,0.4575,0.90391,0.97703,0.94202,0.98418,0.83958,0.59175,0.39961,0.90066,0.00141945,0.00141945,0.00141945
8,810.427,0.62254,0.44536,0.90624,0.97586,0.96361,0.99126,0.84819,0.56191,0.385,0.87867,0.00137819,0.00137819,0.00137819
9,909.652,0.60859,0.43149,0.89721,0.98433,0.97382,0.99116,0.84134,0.57317,0.36836,0.87835,0.00133693,0.00133693,0.00133693
10,1009.83,0.59106,0.41549,0.89018,0.98699,0.97631,0.99197,0.85902,0.54547,0.34155,0.87195,0.00129568,0.00129568,0.00129568
11,1105.38,0.59235,0.41169,0.89082,0.98642,0.97535,0.99212,0.86437,0.5146,0.33234,0.86784,0.00125442,0.00125442,0.00125442
12,1197.05,0.58678,0.40112,0.88815,0.97827,0.97296,0.99176,0.85333,0.5237,0.34682,0.86391,0.00121316,0.00121316,0.00121316
13,1289.42,0.57422,0.39322,0.88482,0.97786,0.97898,0.9923,0.86292,0.52811,0.34312,0.86608,0.0011719,0.0011719,0.0011719
14,1382.57,0.57263,0.38424,0.88671,0.98743,0.97596,0.99194,0.86953,0.52222,0.32572,0.8612,0.00113064,0.00113064,0.00113064
15,1475.04,0.57155,0.37678,0.88458,0.98538,0.97912,0.99264,0.86833,0.51437,0.31491,0.85931,0.00108938,0.00108938,0.00108938
16,1566.32,0.56491,0.37947,0.88715,0.98607,0.98094,0.99206,0.86738,0.51495,0.31476,0.86332,0.00104813,0.00104813,0.00104813
17,1658.01,0.55867,0.35849,0.88582,0.98602,0.98088,0.99354,0.87822,0.51598,0.30125,0.86529,0.00100687,0.00100687,0.00100687
18,1750.17,0.5504,0.35544,0.88156,0.98133,0.98356,0.9931,0.87202,0.51775,0.31058,0.86369,0.00096561,0.00096561,0.00096561
